timestamp,count,uniques,day,mo,yr,collection_timestamp,yr_mo_day
2019-07-27T00:00:00Z,80,25,27,7,2019,2019-10-26 23:31:03.990125,2019-07-27
2019-07-28T00:00:00Z,80,35,28,7,2019,2019-10-26 23:31:03.990125,2019-07-28
2019-07-29T00:00:00Z,170,56,29,7,2019,2019-10-26 23:31:03.990125,2019-07-29
2019-07-30T00:00:00Z,260,70,30,7,2019,2019-10-26 23:31:03.990125,2019-07-30
2019-07-31T00:00:00Z,270,50,31,7,2019,2019-10-26 23:31:03.990125,2019-07-31
2019-08-01T00:00:00Z,400,70,1,8,2019,2019-10-26 23:31:03.990125,2019-08-01
2019-08-02T00:00:00Z,260,50,2,8,2019,2019-10-26 23:31:03.990125,2019-08-02
2019-08-03T00:00:00Z,80,20,3,8,2019,2019-10-26 23:31:03.990125,2019-08-03
2019-08-04T00:00:00Z,70,19,4,8,2019,2019-10-26 23:31:03.990125,2019-08-04
2019-08-05T00:00:00Z,370,57,5,8,2019,2019-10-26 23:31:03.990125,2019-08-05
2019-08-06T00:00:00Z,450,58,6,8,2019,2019-10-26 23:31:03.990125,2019-08-06
2019-08-07T00:00:00Z,500,63,7,8,2019,2019-10-26 23:31:03.990125,2019-08-07
2019-08-08T00:00:00Z,450,72,8,8,2019,2019-10-26 23:31:03.990125,2019-08-08
2019-08-09T00:00:00Z,300,50,9,8,2019,2019-10-26 23:31:03.990125,2019-08-09
2019-08-10T00:00:00Z,240,40,10,8,2019,2019-10-26 23:31:03.990125,2019-08-10
2019-08-11T00:00:00Z,240,27,11,8,2019,2019-10-26 23:31:03.990125,2019-08-11
2019-08-12T00:00:00Z,350,63,12,8,2019,2019-10-26 23:31:03.990125,2019-08-12
2019-08-13T00:00:00Z,470,85,13,8,2019,2019-10-26 23:31:03.990125,2019-08-13
2019-08-14T00:00:00Z,350,57,14,8,2019,2019-10-26 23:31:03.990125,2019-08-14
2019-08-15T00:00:00Z,610,60,15,8,2019,2019-10-26 23:31:03.990125,2019-08-15
2019-08-16T00:00:00Z,400,72,16,8,2019,2019-10-26 23:31:03.990125,2019-08-16
2019-08-17T00:00:00Z,230,48,17,8,2019,2019-10-26 23:31:03.990125,2019-08-17
2019-08-18T00:00:00Z,180,32,18,8,2019,2019-10-26 23:31:03.990125,2019-08-18
2019-08-19T00:00:00Z,320,70,19,8,2019,2019-10-26 23:31:03.990125,2019-08-19
2019-08-20T00:00:00Z,340,65,20,8,2019,2019-10-26 23:31:03.990125,2019-08-20
2019-08-21T00:00:00Z,400,80,21,8,2019,2019-10-26 23:31:03.990125,2019-08-21
2019-08-22T00:00:00Z,320,65,22,8,2019,2019-10-26 23:31:03.990125,2019-08-22
2019-08-23T00:00:00Z,250,50,23,8,2019,2019-10-26 23:31:03.990125,2019-08-23
2019-08-24T00:00:00Z,160,35,24,8,2019,2019-10-26 23:31:03.990125,2019-08-24
2019-08-25T00:00:00Z,100,30,25,8,2019,2019-10-26 23:31:03.990125,2019-08-25
2019-08-26T00:00:00Z,410,65,26,8,2019,2019-10-26 23:31:03.990125,2019-08-26
2019-08-27T00:00:00Z,230,55,27,8,2019,2019-10-26 23:31:03.990125,2019-08-27
2019-08-28T00:00:00Z,500,70,28,8,2019,2019-10-26 23:31:03.990125,2019-08-28
2019-08-29T00:00:00Z,360,60,29,8,2019,2019-10-26 23:31:03.990125,2019-08-29
2019-08-30T00:00:00Z,270,56,30,8,2019,2019-10-26 23:31:03.990125,2019-08-30
2019-08-31T00:00:00Z,130,25,31,8,2019,2019-10-26 23:31:03.990125,2019-08-31
2019-09-01T00:00:00Z,100,23,1,9,2019,2019-10-26 23:31:03.990125,2019-09-01
2019-09-02T00:00:00Z,200,55,2,9,2019,2019-10-26 23:31:03.990125,2019-09-02
2019-09-03T00:00:00Z,430,52,3,9,2019,2019-10-26 23:31:03.990125,2019-09-03
2019-09-04T00:00:00Z,420,65,4,9,2019,2019-10-26 23:31:03.990125,2019-09-04
2019-09-05T00:00:00Z,510,60,5,9,2019,2019-10-26 23:31:03.990125,2019-09-05
2019-09-06T00:00:00Z,340,75,6,9,2019,2019-10-26 23:31:03.990125,2019-09-06
2019-09-07T00:00:00Z,220,65,7,9,2019,2019-10-26 23:31:03.990125,2019-09-07
2019-09-08T00:00:00Z,130,33,8,9,2019,2019-10-26 23:31:03.990125,2019-09-08
2019-09-09T00:00:00Z,330,78,9,9,2019,2019-10-26 23:31:03.990125,2019-09-09
2019-09-10T00:00:00Z,340,78,10,9,2019,2019-10-26 23:31:03.990125,2019-09-10
2019-09-11T00:00:00Z,350,65,11,9,2019,2019-10-26 23:31:03.990125,2019-09-11
2019-09-12T00:00:00Z,300,65,12,9,2019,2019-10-26 23:31:03.990125,2019-09-12
2019-09-13T00:00:00Z,350,57,13,9,2019,2019-10-26 23:31:03.990125,2019-09-13
2019-09-14T00:00:00Z,70,25,14,9,2019,2019-10-26 23:31:03.990125,2019-09-14
2019-09-15T00:00:00Z,310,33,15,9,2019,2019-10-26 23:31:03.990125,2019-09-15
2019-09-16T00:00:00Z,360,83,16,9,2019,2019-10-26 23:31:03.990125,2019-09-16
2019-09-17T00:00:00Z,310,66,17,9,2019,2019-10-26 23:31:03.990125,2019-09-17
2019-09-18T00:00:00Z,300,60,18,9,2019,2019-10-26 23:31:03.990125,2019-09-18
2019-09-19T00:00:00Z,410,66,19,9,2019,2019-10-26 23:31:03.990125,2019-09-19
2019-09-20T00:00:00Z,387,71,20,9,2019,2019-10-26 23:31:03.990125,2019-09-20
2019-09-21T00:00:00Z,213,43,21,9,2019,2019-09-29 10:14:33.792382,2019-09-21
2019-09-22T00:00:00Z,155,30,22,9,2019,2019-09-29 10:14:33.792382,2019-09-22
2019-09-23T00:00:00Z,284,71,23,9,2019,2019-09-29 10:14:33.792382,2019-09-23
